team,penalty,game,opponent,player,position,week,year,penaltyindex
TB,False Start,09/09/2012,Carolina,T.Larsen,G,1,2012,TB-2012-0
TB,Offensive Holding,09/09/2012,Carolina,T.Larsen,G,1,2012,TB-2012-1
TB,Roughing the Passer,09/09/2012,Carolina,M.Bennett,DE,1,2012,TB-2012-2
TB,False Start,09/09/2012,Carolina,L.Stocker,TE,1,2012,TB-2012-3
TB,Personal Foul,09/16/2012,N.Y. Giants,M.Foster,LB,2,2012,TB-2012-4
TB,Defensive Holding,09/16/2012,N.Y. Giants,E.Wright,DB,2,2012,TB-2012-5
TB,Defensive Offside,09/16/2012,N.Y. Giants,M.Bennett,DE,2,2012,TB-2012-6
TB,False Start,09/16/2012,N.Y. Giants,D.Dotson,T,2,2012,TB-2012-7
TB,Defensive Holding,09/16/2012,N.Y. Giants,A.Talib,CB,2,2012,TB-2012-8
TB,Defensive Pass Interference,09/16/2012,N.Y. Giants,A.Talib,CB,2,2012,TB-2012-9
TB,False Start,09/23/2012,Dallas,J.Zuttah,C,3,2012,TB-2012-10
TB,Offensive Holding,09/23/2012,Dallas,D.Penn,T,3,2012,TB-2012-11
TB,Roughing the Kicker,09/23/2012,Dallas,D.Watson,LB,3,2012,TB-2012-12
TB,False Start,09/23/2012,Dallas,L.Stocker,TE,3,2012,TB-2012-13
TB,False Start,09/23/2012,Dallas,D.Martin,RB,3,2012,TB-2012-14
TB,Delay of Game,09/23/2012,Dallas,M.Koenen,P,3,2012,TB-2012-15
TB,Intentional Grounding,09/23/2012,Dallas,J.Freeman,QB,3,2012,TB-2012-16
TB,Unnecessary Roughness,09/23/2012,Dallas,M.Lewis,DB,3,2012,TB-2012-17
TB,False Start,09/23/2012,Dallas,C.Grimm,FS,3,2012,TB-2012-18
TB,Offensive Holding,09/30/2012,Washington,J.Zuttah,C,4,2012,TB-2012-19
TB,Unnecessary Roughness,09/30/2012,Washington,M.Barron,SS,4,2012,TB-2012-20
TB,Defensive Pass Interference,09/30/2012,Washington,R.Barber,FS,4,2012,TB-2012-21
TB,Defensive Offside,09/30/2012,Washington,G.McCoy,DT,4,2012,TB-2012-22
TB,Encroachment,09/30/2012,Washington,G.Gibson,DT,4,2012,TB-2012-23
TB,False Start,09/30/2012,Washington,E.Lorig,FB,4,2012,TB-2012-24
TB,Illegal Block Above the Waist,09/30/2012,Washington,L.Johnson,CB,4,2012,TB-2012-25
TB,Illegal Use of Hands,10/14/2012,Kansas City,D.Dotson,T,6,2012,TB-2012-26
TB,Neutral Zone Infraction,10/14/2012,Kansas City,Q.Black,OLB,6,2012,TB-2012-27
TB,Offensive Holding,10/14/2012,Kansas City,J.Zuttah,C,6,2012,TB-2012-28
TB,Neutral Zone Infraction,10/14/2012,Kansas City,M.Bennett,DE,6,2012,TB-2012-29
TB,False Start,10/14/2012,Kansas City,J.Freeman,QB,6,2012,TB-2012-30
TB,Illegal Block Above the Waist,10/14/2012,Kansas City,E.Lorig,FB,6,2012,TB-2012-31
TB,Defensive Holding,10/21/2012,New Orleans,B.McDonald,DB,7,2012,TB-2012-32
TB,Illegal Use of Hands,10/21/2012,New Orleans,J.Meredith,T,7,2012,TB-2012-33
TB,Running Into the Kicker,10/21/2012,New Orleans,E.Biggers,DB,7,2012,TB-2012-34
TB,Defensive Offside,10/21/2012,New Orleans,G.Gibson,DT,7,2012,TB-2012-35
TB,Illegal Use of Hands,10/21/2012,New Orleans,D.Dotson,T,7,2012,TB-2012-36
TB,Delay of Game,10/21/2012,New Orleans,J.Freeman,QB,7,2012,TB-2012-37
TB,False Start,10/21/2012,New Orleans,V.Jackson,WR,7,2012,TB-2012-38
TB,Illegal Touch Pass,10/21/2012,New Orleans,M.Williams,WR,7,2012,TB-2012-39
TB,Offensive Holding,10/25/2012,Minnesota,L.Johnson,CB,8,2012,TB-2012-40
TB,False Start,10/25/2012,Minnesota,D.Martin,RB,8,2012,TB-2012-41
TB,Roughing the Passer,10/25/2012,Minnesota,R.Miller,DT,8,2012,TB-2012-42
TB,Unnecessary Roughness,10/25/2012,Minnesota,D.Penn,T,8,2012,TB-2012-43
TB,Face Mask (15 Yards),10/25/2012,Minnesota,L.Johnson,CB,8,2012,TB-2012-44
TB,Offensive Holding,10/25/2012,Minnesota,J.Zuttah,C,8,2012,TB-2012-45
TB,Encroachment,11/04/2012,Oakland,R.Barber,FS,9,2012,TB-2012-46
TB,Illegal Block Above the Waist,11/04/2012,Oakland,A.Benn,WR,9,2012,TB-2012-47
TB,Neutral Zone Infraction,11/04/2012,Oakland,G.McCoy,DT,9,2012,TB-2012-48
TB,Offensive Holding,11/04/2012,Oakland,E.Lorig,FB,9,2012,TB-2012-49
TB,Taunting,11/04/2012,Oakland,V.Jackson,WR,9,2012,TB-2012-50
TB,Roughing the Kicker,11/04/2012,Oakland,A.Hayward,OLB,9,2012,TB-2012-51
TB,Defensive Pass Interference,11/04/2012,Oakland,E.Wright,DB,9,2012,TB-2012-52
TB,False Start,11/04/2012,Oakland,T.Larsen,G,9,2012,TB-2012-53
TB,False Start,11/04/2012,Oakland,E.Lorig,FB,9,2012,TB-2012-54
TB,Defensive 12 On-field,11/04/2012,Oakland,Q.Black,OLB,9,2012,TB-2012-55
TB,Defensive Holding,11/04/2012,Oakland,L.Johnson,CB,9,2012,TB-2012-56
TB,Defensive Offside,11/04/2012,Oakland,D.Bowers,DE,9,2012,TB-2012-57
TB,Defensive Pass Interference,11/04/2012,Oakland,E.Biggers,DB,9,2012,TB-2012-58
TB,Defensive Pass Interference,11/04/2012,Oakland,E.Wright,DB,9,2012,TB-2012-59
