team,penalty,game,opponent,player,position,week,year,penaltyindex
TEN,False Start,09/07/2014,Kansas City,M.Roos,T,1,2014,TEN-2014-0
TEN,Ineligible Downfield Kick,09/07/2014,Kansas City,B.Brinkley,LS,1,2014,TEN-2014-1
TEN,Illegal Contact,09/07/2014,Kansas City,B.Pollard,SS,1,2014,TEN-2014-2
TEN,Delay of Game,09/07/2014,Kansas City,J.Locker,QB,1,2014,TEN-2014-3
TEN,Defensive Holding,09/07/2014,Kansas City,D.Morgan,OLB,1,2014,TEN-2014-4
TEN,Unnecessary Roughness,09/07/2014,Kansas City,S.Phillips,OLB,1,2014,TEN-2014-5
TEN,Offensive Holding,09/07/2014,Kansas City,T.Thompson,TE,1,2014,TEN-2014-6
TEN,Offensive Holding,09/07/2014,Kansas City,C.Warmack,G,1,2014,TEN-2014-7
TEN,Offensive Holding,09/07/2014,Kansas City,M.Roos,T,1,2014,TEN-2014-8
TEN,Unnecessary Roughness,09/07/2014,Kansas City,G.Wilson,SS,1,2014,TEN-2014-9
TEN,Taunting,09/07/2014,Kansas City,B.Wreh-Wilson,CB,1,2014,TEN-2014-10
TEN,False Start,09/07/2014,Kansas City,C.Warmack,G,1,2014,TEN-2014-11
TEN,Offensive Holding,09/07/2014,Kansas City,M.Oher,T,1,2014,TEN-2014-12
TEN,Face Mask (15 Yards),09/07/2014,Kansas City,T.Lewan,T,1,2014,TEN-2014-13
TEN,Personal Foul,09/14/2014,Dallas,B.Pollard,SS,2,2014,TEN-2014-14
TEN,False Start,09/14/2014,Dallas,T.Thompson,TE,2,2014,TEN-2014-15
TEN,Defensive Pass Interference,09/14/2014,Dallas,B.Wreh-Wilson,CB,2,2014,TEN-2014-16
TEN,Defensive Offside,09/14/2014,Dallas,M.Martin,FS,2,2014,TEN-2014-17
TEN,False Start,09/21/2014,Cincinnati,A.Levitre,G,3,2014,TEN-2014-18
TEN,Defensive Pass Interference,09/21/2014,Cincinnati,B.Wreh-Wilson,CB,3,2014,TEN-2014-19
TEN,Offensive Holding,09/21/2014,Cincinnati,Q.Groves,LB,3,2014,TEN-2014-20
TEN,Face Mask (15 Yards),09/21/2014,Cincinnati,B.Wreh-Wilson,CB,3,2014,TEN-2014-21
TEN,Defensive Pass Interference,09/21/2014,Cincinnati,B.Wreh-Wilson,CB,3,2014,TEN-2014-22
TEN,False Start,09/21/2014,Cincinnati,M.Roos,T,3,2014,TEN-2014-23
TEN,Unnecessary Roughness,09/21/2014,Cincinnati,M.Oher,T,3,2014,TEN-2014-24
